Gene	Module	R	pvalue	Group(Brucella)	Group(Tuberculosis)	Group(Control)	Group(Brucella)	Group(Tuberculosis)	Group(Control)
84808	tan	0.840552192948584	0.00232188290907378	-0.452866968624516	-0.161088677142516	0.645223830965328	0.188743779756344	0.656621171517405	0.0439433681771519
388581	darkturquoise	0.7152658460386	0.0200492434360062	-0.6616570982337	0.314016605863369	0.393324585313069	0.0371782941862607	0.376909234717395	0.260809365204033
643965	darkturquoise	0.787236420978767	0.00687310483172502	-0.723273442488122	0.260202300837084	0.513009533089515	0.0180795539301482	0.467804512048767	0.129418836985785
339456	tan	0.821486365115546	0.00356012018001585	0.0496370042934792	-0.245040221172566	0.191976031523416	0.891686183090387	0.495017046909295	0.59519027364463
388588	greenyellow	0.889797841282187	0.000563790477088467	0.294447400735762	-0.485470709339227	0.170693197345127	0.408894652414654	0.15491246080429	0.637298956885177
83715	greenyellow	0.87308917189718	0.000971070459163608	0.122111742292806	-0.394213273189042	0.263670329599981	0.736828146525521	0.259636672563101	0.461675032646013
3604	magenta	0.935036044934949	7.20116487564877e-05	0.0559250827685496	0.595512331278324	-0.655298759577435	0.878045784230264	0.0692939897886079	0.0397058055237698
155184	grey	-0.381876867119537	0.276175323322207	-0.438388640964682	0.764344633032897	-0.295687462534813	0.205045746757919	0.0100389178958841	0.40683064548828
10218	black	-0.745350361385472	0.0133501448778146	-0.400513793530328	-0.210514310332036	0.638681565779923	0.251406335136679	0.55937068417573	0.0468513628385832
26232	blue	0.896304432132415	0.0004455810772904	-0.371524919579304	-0.153306602390648	0.550483448023361	0.290483155260058	0.672413175625646	0.0991633942223028
390999	darkturquoise	0.856490363691812	0.00155482479424396	-0.827534462302875	0.36930562486103	0.515365927620557	0.00312575716050537	0.293601197102663	0.12736700860804
126755	black	-0.844112610335691	0.00213097590729798	-0.533308504667578	0.0810569857474503	0.48907378737221	0.11240470487229	0.823848240860885	0.151417405279027
284723	tan	0.928629280476552	0.000104080409077307	-0.154165645634832	-0.242910108134043	0.407720115784426	0.670664135008325	0.498893134994145	0.242173114797828
6248	tan	0.756189243254937	0.011379794492284	-0.600951682292547	-0.16346773271524	0.805912104470707	0.0661437270511475	0.651817405874925	0.00487603505973171
27129	tan	0.882501671408888	0.000721966272041985	-0.427913659779432	-0.00963973092170015	0.467098675497467	0.217330826917437	0.97891504798838	0.173486642137638
23400	grey	0.693312669094547	0.0262007492576803	0.609313310837013	-0.0649017170633832	-0.586481611608901	0.0614863491623505	0.858624005294606	0.0747374325481284
