Tag	greenyellow	blue	darkgrey	darkturquoise	tan	darkorange	darkgreen	magenta	black	white	salmon	midnightblue	cyan	grey60	brown	lightcyan	grey
brucella1	-0.164345304740747	-0.169715895369718	-0.252753523789642	-0.350960785326534	-0.138233197070492	0.927813674274034	0.18021438249544	0.255584680878418	0.0777387176655878	-0.28800264558054	-0.162145848779008	-0.10741680521849	-0.125755101488165	-0.279438189585531	-0.167376335341733	-0.194621247394254	0.157627695045723
brucella2	0.800296484000859	-0.170848244760347	0.474991997821408	-0.10998016517828	-0.0997832018255245	0.0603825979126894	-0.0770211210197899	-0.20466837945492	0.424333997252997	0.320352743606685	-0.152733371355789	-0.0902022679967889	-0.120325782405373	-0.203307751559381	-0.15097706125418	-0.164941950778458	0.027905572256589
brucella3	-0.0705434376869609	-0.100365828272997	-0.10985382392799	-0.218861727102594	-0.126779997049313	-0.174027488058566	0.897096891431446	0.0453188122757685	0.208787151907782	0.415692731042718	-0.139590031777531	-0.108411310264495	-0.0827327002564032	-0.240142986168737	-0.161773143975625	-0.198557872046498	0.0750369343649564
brucella4	0.0338495623854367	-0.137364615337489	-0.0990495437170711	-0.236818500856948	-0.122842633673106	-0.104788363552647	-0.0568478621289095	0.308034708265306	0.386030431720303	0.176732655565395	-0.157062481741532	-0.130400069319432	-0.105883335191503	-0.237419777984426	-0.148197369491934	-0.179942245723528	0.847682722337881
TB1	-0.165154533337134	0.00694341621880044	-0.0894124658379198	0.197758249778743	0.0377722246094953	-0.180427875061669	-0.127885371733934	0.122273977749665	-0.0581154946229526	0.467560958072542	-0.0377123944043016	-0.0936518349038384	-0.0964230583226243	0.573370068823519	0.933460756489254	0.64988289728823	-0.0406393365491783
TB2	-0.154126388401706	-0.191994819080405	-0.28791193165219	-0.164488136489194	-0.161592582935643	-0.0627980906954739	-0.126112494330686	0.368710232448728	0.243789715725049	0.0362631813726536	-0.0909418414211181	-0.069344985650241	0.944257232440474	0.114325622156707	-0.0790467005115813	0.560662266654414	-0.241827366503184
TB3	-0.234624019225772	-0.0861629867856588	-0.295636941895728	-0.200036963404942	-0.124163908878106	-0.146387741887572	-0.191380734286956	0.223126701141499	-0.0967593598104528	-0.133350600307996	-0.127616721362221	0.945166720472044	-0.0318913774979185	-0.0271436891797565	-0.0399329036323439	0.100433458649846	-0.101614427302827
control1	0.364659735990775	0.928857944535903	0.27969351609256	0.510833094892426	-0.0744696632543013	-0.133234024565962	-0.162227634493669	-0.609316393672263	-0.474357970195	-0.46262189239414	-0.109480197205874	-0.152396974445581	-0.143746741412081	-0.283188870580654	-0.14197877251591	-0.2431198804249	-0.298616717328262
control2	-0.16449116679393	-0.0771282068611165	-0.234255054840991	-0.0526236592094589	-0.125587481724947	-0.0690398764471438	-0.136456443436329	-0.0373631749530802	-0.167284565023725	-0.174612362545253	0.930637900376117	-0.0597052104500455	-0.0981443794014296	-0.00337834524364014	-0.00295501284216099	-0.127177309502259	-0.212444775514337
control3	-0.245520932190819	-0.0022207642869722	0.614187771747565	0.625178592896783	0.935680441801939	-0.117492811917689	-0.199379612496614	-0.471701164679122	-0.544162624619589	-0.358014768832064	0.0466449876712582	-0.133637262223132	-0.139354756464977	0.586323919321899	-0.0412234569237858	-0.202618116722594	-0.213110300807361
