CvsB,CvsT,TvsB,CvsB|CvsT,CvsB|TvsB,CvsT|TvsB,CvsB|CvsT|TvsB
132851,,932.G1,57538,,,
135138,,1870.G1,57571,,,
136259,,89839.G1,57633,,,
136371,,114118903.G2,57644,,,
137902,,2483.G2,57670,,,
138046,,23246.G1,57718,,,
139189,,114821.G1,58473,,,
139411,,3304.G4,58529,,,
140545,,4974.G1,59285,,,
140733,,4901.G1,63924,,,
142686,,3119.G5,63951,,,
144501,,9920.G1,64067,,,
145282,,342184.G1,64091,,,
146395,,2483.G1,64102,,,
148789,,1460.G6,64208,,,
148808,,6203.G7,64328,,,
150483,,63943.G2,64332,,,
150677,,3134.G5,64344,,,
151050,,XLOC_079405,64399,,,
151742,,11026.G2,65249,,,
152519,,8870.G1,65266,,,
153201,,106707243.G1,65268,,,
153657,,100131439.G1,78986,,,
154215,,3304.G1,79007,,,
158471,,6293.G5,79041,,,
158763,,647042.G1,79370,,,
160065,,2550.G4,79442,,,
162461,,1028.G1,79570,,,
162989,,100129278.G1,79739,,,
163183,,196385.G1,79784,,,
164045,,1388.G1,79785,,,
166012,,80741.G2,79870,,,
168002,,3304.G2,79933,,,
169044,,115253422.G1,80263,,,
170302,,,80303,,,
170690,,,80318,,,
171484,,,80760,,,
192668,,,80824,,,
196446,,,81575,,,
196541,,,81706,,,
196951,,,81786,,,
200504,,,81796,,,
200909,,,83552,,,
202151,,,83875,,,
203859,,,83888,,,
219409,,,84033,,,
219578,,,84107,,,
221191,,,84144,,,
221301,,,84618,,,
222584,,,84627,,,
223117,,,84675,,,
245938,,,84676,,,
255189,,,84700,,,
255324,,,84706,,,
255738,,,84792,,,
256148,,,84808,,,
256691,,,84812,,,
257177,,,84929,,,
257194,,,84940,,,
259308,,,85366,,,
260436,,,85457,,,
266722,,,85480,,,
283078,,,90187,,,
284383,,,90523,,,
284402,,,91461,,,
284716,,,91624,,,
285423,,,91977,,,
285888,,,92235,,,
286430,,,92369,,,
286499,,,92370,,,
317761,,,92591,,,
338376,,,92737,,,
338599,,,94030,,,
338667,,,113622,,,
338872,,,114569,,,
339479,,,114805,,,
339829,,,114818,,,
339976,,,114821,,,
340419,,,114880,,,
344901,,,115265,,,
345557,,,115399,,,
346702,,,115572,,,
347475,,,117245,,,
347487,,,117283,,,
347731,,,118461,,,
347736,,,118490,,,
348807,,,118491,,,
348980,,,121340,,,
353238,,,122622,,,
375567,,,122769,,,
387601,,,123103,,,
387718,,,123722,,,
388336,,,126393,,,
388389,,,127018,,,
388581,,,127294,,,
388743,,,127495,,,
388939,,,127665,,,
389332,,,129446,,,
389493,,,130827,,,
389549,,,131377,,,
389762,,,134829,,,
390190,,,135152,,,
390197,,,137735,,,
390594,,,137872,,,
390664,,,139065,,,
392517,,,139221,,,
399693,,,140456,,,
399697,,,140578,,,
400566,,,140862,,,
401036,,,140902,,,
403253,,,142689,,,
414919,,,145501,,,
440051,,,145814,,,
441151,,,146556,,,
442117,,,146802,,,
613227,,,146862,,,
619279,,,147183,,,
642658,,,148113,,,
642987,,,148738,,,
643965,,,149345,,,
644168,,,150094,,,
646603,,,150572,,,
646643,,,151126,,,
646960,,,152573,,,
653082,,,152831,,,
728317,,,153769,,,
728734,,,154091,,,
729665,,,154796,,,
730005,,,157310,,,
100049587,,,157869,,,
100126572,,,161247,,,
100129480,,,162655,,,
100130613,,,163259,,,
100287718,,,163933,,,
100505989,,,164832,,,
100507027,,,165904,,,
100996492,,,166348,,,
100996758,,,167838,,,
101929726,,,171024,,,
102724159,,,196500,,,
102800317,,,200539,,,
104909134,,,201140,,,
105378803,,,201181,,,
106865373,,,201798,,,
107983958,,,202333,,,
107985915,,,206338,,,
107986096,,,219537,,,
107986768,,,220296,,,
107986800,,,221091,,,
110116772,,,221476,,,
110599583,,,221662,,,
112268016,,,222611,,,
115253422,,,222950,,,
122455338,,,245806,,,
122513141,,,246329,,,
124900837,,,252995,,,
124901355,,,253017,,,
124902361,,,254863,,,
124902461,,,255275,,,
124903248,,,255798,,,
124903450,,,256158,,,
124904248,,,257240,,,
124905153,,,257407,,,
124905566,,,282996,,,
124905938,,,283971,,,
124905948,,,284106,,,
124909439,,,284266,,,
124909494,,,284612,,,
134111.G1,,,284723,,,
104909134.G1,,,285525,,,
