CvsB,CvsT,TvsB,CvsB|CvsT,CvsB|TvsB,CvsT|TvsB
XR_007065854.1,ASAP1-OT5,ZNF264-OT3,XR_933105.3,XR_925103.3,
NR_040067.1,SORCS2-IT1,XR_936809.4,XR_007063448.1,ABL1-OT1,
LINC227,SEPTIN14-IT1,XR_001745395.1,KIAA1671-OT1,LINC27,
NR_148968.1,KCNQ5-OT1,XR_241981.1,NFIA-IT5,APOL6-OT1,
XR_007058193.1,XR_007065044.1,NR_033979.2,USP3-OT1,APOL6-OT4,
HUWE1-OT2,LINC226,3123.G4-AS1,CD59-OT1,NR_023922.2.T1,
XR_001740566.1,NR_073566.1,146183.G1-AS11,NR_027167.1,NR_158656.1,
LINC391,XR_007063716.1,XR_001743022.2,ANKRD44-IT1,LINC629,
NR_134585.1,XR_938969.3,NR_023389.1,SLC35D1-OT1,TSPOAP1-OT1,
XR_935158.3,LINC257,LINC887,TRDN-OT1,CHD9-OT1,
NR_137179.1,XR_007065863.1,XR_007058222.1,PURA-OT1,SCAF11-IT1,
XR_941233.3,HIVEP2-OT1,NR_135238.1,LINC565,ANTXR2-IT2,
RAP2B-OT1,NR_171007.1,LOC124905540-IT8,NR_126045.1,RABGAP1L-OT2,
SEC24A-OT1,LINC877,XR_007059746.1,POPDC3-OT2,3123.G1-AS1,
LDLRAD4-IT8,NR_033869.1.T1,LINC753,NR_034077.1,NR_158657.1,
XR_936753.4,XR_001755780.2,XR_007096151.1,HIGD1A-OT1,NR_038315.1,
NR_024052.2.T4,NOVA1-IT2,LINC874,NR_174087.1,LINC249,
6098-AS2,XR_007062092.1,LINC78,DOCK4-IT1,AZIN1-IT3,
XR_001756049.2,XR_007086221.1,LINC80,JRK-OT1,LINC275,
ST3GAL1-IT3,ZNF774-OT1,XR_951150.3,XR_942768.4,XR_001746827.2,
NR_103738.1,XR_934781.3,XR_007061675.1,XR_007066746.1,XR_001744205.2,
LINC224,LINC265,XR_007061830.1,1843-AS2,LINC427,
LINC7,PDE4D-IT9,XR_001738545.2,CTDSPL2-IT2,ZNF33A-IT1,
NR_130925.1,NR_026680.3.T2,XR_941726.3,FRYL-IT1,HSD17B11-OT1,
XR_007064659.1,NR_040049.1,XR_001749240.2,XR_007087124.1,LINC614,
XR_007058512.1,ZMYM2-OT2,XR_944195.3,OPA3-OT1,LINC442,
55617-AS1,PDE4D-IT10,NR_024584.2,NR_027165.1,TRPS1-IT10,
NR_045767.1,XR_002959433.2,LINC99,ETV6-IT1,POU2AF1-OT3,
SHC4-IT1,NR_038378.4,NR_110811.1,XR_001746557.3,LINC232,
84319-AS2,RPL7L1-OT2,NR_137192.1,146183.G1-AS8,SGTB-OT1,
XR_007064648.1,MCTP1-OT3,KCNA3-OT1,YPEL2-OT1,XR_925741.3,
THRB-IT1,LINC800,NR_146488.1,XR_007066469.1,NR_171682.1,
XR_001747409.3,NR_149013.2.T1,LOC124905540-IT1,NR_152605.1,LINC213,
ZNHIT6-OT1,NR_110632.1,RFX3-OT2,PRR13-OT1,,
XR_007086185.1,,XR_942937.4,LINC545,,
XR_007067298.1,,XR_925526.4,LONRF2-OT1,,
DDAH1-OT1,,XR_007068617.1,NR_171673.1,,
NR_038919.1,,P4HA3-OT1,NOVA1-IT1,,
ORC5-IT1,,XR_001754498.2,NR_173352.1,,
XR_007065038.1,,XR_935087.3,NR_045026.1,,
LINC152,,LINC81,KCNQ5-IT3,,
XR_001750836.3,,NR_046661.1,LINC196,,
XR_001739224.1,,NR_121578.1,DCLK1-OT1,,
LINC294,,LINC740,XR_007065793.1,,
ZNF138-IT1,,XR_007064053.1,NR_110479.1,,
ARID1A-IT3,,LINC534,NR_152521.1,,
XR_001745024.2,,LINC752,,,
LINC409,,XR_001738442.2,,,
NR_134646.1,,XR_001741037.1,,,
XR_007087319.1,,LINC757,,,
221191-AS1,,LINC219,,,
LINC106,,LOC124905540-IT12,,,
347731-AS1,,LINC830,,,
XR_001746122.3,,NR_146593.1,,,
XR_001739530.2,,LINC199,,,
6442-AS1,,TMCO6-IT2,,,
MLIP-IT1,,XR_923422.4,,,
NR_036513.1,,LINC635,,,
MAP3K5-IT4,,NR_110703.2,,,
NFIX-OT2,,NR_144453.1,,,
PATJ-OT1,,XR_007065203.1,,,
LINC133,,XR_007058967.1,,,
XR_936693.3,,LINC45,,,
XR_007087225.1,,NR_152753.1,,,
LINC498,,CYRIB-IT4,,,
NR_103447.1,,LOC124905540-IT3,,,
ZC3HAV1-IT2,,LINC741,,,
XR_002959406.2,,LINC595,,,
XR_007058134.1,,XR_952718.4,,,
XR_001749891.3,,XR_007095792.1,,,
EIF4EBP2-OT1,,XR_001751017.1,,,
XR_002956900.2,,NR_164161.1,,,
LINC62,,XR_932439.2,,,
DENND2C-OT2,,LINC596,,,
MAPK4-IT1,,XR_001749391.2,,,
XR_001739113.2,,LINC46,,,
XR_939612.3,,NR_110372.1,,,
NR_126341.1,,LINC47,,,
NR_040080.1,,XR_007058451.1,,,
NR_132748.1,,NR_108099.1,,,
FMNL2-IT5,,NR_160702.1,,,
LINC194,,NR_146309.1,,,
XR_001741677.3,,XR_002958732.2,,,
LINC832,,NR_038312.1,,,
NR_103737.1,,LINC14,,,
XR_007062936.1,,LINC188,,,
EXT1-IT8,,NR_027032.1,,,
XR_001753366.2,,XR_002956253.2,,,
LINC780,,XR_007061692.1,,,
XR_007063927.1,,UBE2E2-IT6,,,
NR_038287.1,,NR_015399.1,,,
XR_924841.3,,NR_134238.1,,,
XR_007069316.1,,NR_110325.1,,,
LINC864,,XR_007058506.1,,,
79818-AS1,,NR_120653.1,,,
XR_002959475.1,,XR_002958447.2,,,
XR_007062084.1,,NR_027933.1,,,
NR_033962.1,,XR_001742745.1,,,
NR_104177.1,,NR_170633.1,,,
LINC575,,LINC861,,,
LINC272,,LOC124905540-IT13,,,
XR_007068558.1,,DEGS1-OT1,,,
XR_002958113.2,,XR_007062681.1,,,
XR_942910.3,,XR_923084.3,,,
SIPA1L1-OT2,,LINC839,,,
XR_007087218.1,,LINC236,,,
XR_928852.3,,LINC566,,,
XR_007096029.1,,LINC182,,,
XR_001750688.1,,LINC675,,,
MGAT5-OT1,,LINC744,,,
XR_007063798.1,,LINC696,,,
NR_152515.1,,NR_130931.1,,,
MDM4-OT2,,LINC101,,,
CTNNA3-IT1,,LMCD1-OT2,,,
XR_007058204.1,,XR_931187.3,,,
LINC190,,XR_928470.3,,,
XR_922315.3,,NR_038234.1,,,
LINC312,,LINC84,,,
ETV6-OT1,,NR_137281.2,,,
ZSCAN31-IT1,,NR_109852.1,,,
LINC210,,XR_007063572.1,,,
XR_001746124.3,,RBM47-IT4,,,
NR_138480.1,,LINC426,,,
ADAMTS6-IT1,,LINC189,,,
NR_122042.1,,LINC88,,,
XR_007058066.1,,LINC411,,,
CHST3-IT1,,XR_928653.3,,,
LINC729,,NR_145420.1,,,
ROR1-IT2,,OPA3-OT2,,,
XR_931176.3,,XR_001752248.2,,,
DMD-IT5,,LINC594,,,
FNBP1-IT3,,XR_001744494.3,,,
NR_137180.1,,LOC124905540-IT4,,,
XR_007061621.1,,NR_173139.1,,,
CHST11-IT8,,XR_007068693.1,,,
XR_001753511.2,,XR_944152.4,,,
NR_110522.2,,ASXL1-IT2,,,
ZNF264-OT2,,LOC124905540-IT11,,,
LINC583,,XR_002957734.1,,,
NR_130701.1.T1,,NR_104648.1,,,
SCARA3-IT1,,LINC481,,,
NR_033860.1,,LINC766,,,
XR_927158.3,,LINC186,,,
XR_001755905.3,,XR_926450.3,,,
NR_136543.1,,LINC805,,,
NR_122040.1,,XR_007066459.1,,,
NR_157829.1,,NR_144319.2,,,
NR_028345.2,,LINC233,,,
HLA-DRA-OT1,,XR_007066299.1,,,
LINC706,,XR_007063342.1,,,
LYPLAL1-OT1,,XR_001755823.2,,,
LINC791,,XR_007087213.1,,,
XR_007088684.1,,XR_942993.3,,,
XR_007065956.1,,LINC256,,,
MAP3K1-IT1,,XR_007061152.1,,,
XR_007066177.1,,LINC208,,,
ZNF254-OT2,,LINC717,,,
XR_001753367.2,,XR_001739880.2,,,
XR_007062385.1,,XR_007088059.1,,,
XR_936756.3,,XR_949591.2,,,
LINC295,,LINC669,,,
NR_024037.2,,NR_164121.1,,,
NR_109754.2,,LINC745,,,
NR_033976.1,,NR_023923.2.T1,,,
XR_007063209.1,,LINC589,,,
XR_007069347.1,,LINC647,,,
WDPCP-OT1,,XR_001739519.1,,,
XR_001751743.1,,LINC98,,,
MRE11-OT2,,XR_007058377.1,,,
NR_109880.1,,NR_024435.2,,,
XR_935978.3,,NR_136551.1,,,
XR_925461.2,,LINC883,,,
XR_922045.3,,25914-AS1,,,
XR_938897.4,,XR_007068380.1,,,
LINC289,,NR_038339.2,,,
XR_007065670.1,,XR_922062.4,,,
LINC154,,XR_007063381.1,,,
NR_125817.1,,XR_007062315.1,,,
NR_037166.1,,LINC49,,,
LINC229,,KIRREL1-OT2,,,
XR_007066871.1,,NR_104668.1,,,
DMXL2-IT1,,LINC881,,,
NR_047116.1,,LINC742,,,
XR_949203.4,,XR_007060936.1,,,
IMPG2-IT1,,NR_120546.1,,,
XR_007096267.1,,NR_146471.1,,,
CD47-OT1,,XR_922307.2,,,
XR_007087171.1,,NR_152616.1,,,
XR_001754059.2,,ZNF646-OT1,,,
ZNF805-OT1,,XR_001745858.2,,,
ALG1-OT1,,XR_001754499.2,,,
PHACTR4-OT1,,XR_001749275.3,,,
